No,District,Lat,Lon,Warehouse,Capacity,City,Index(City)
1,Nanggung,-6.663605,106.555092,F, -   ,Bogor,1
2,Leuwiliang,-6.629519,106.611389,F, -   ,Bogor,1
3,Cibungbulang,-6.639824,106.673919,F, -   ,Bogor,1
4,Ciampea,-6.626001,106.70655,F, -   ,Bogor,1
5,Ciomas,-6.647796,106.759002,F, -   ,Bogor,1
6,Dramaga,-6.58861,106.739719,T,"5,000,000.00",Bogor,1
7,Cijeruk,-6.68425,106.783752,F, -   ,Bogor,1
8,Caringin,-6.72016,106.844425,F, -   ,Bogor,1
9,Ciawi1,-6.694581,106.866146,F, -   ,Bogor,1
10,Cisarua1,-6.702336,106.94136,F, -   ,Bogor,1
11,Megamendung,-6.687169,106.912254,F, -   ,Bogor,1
12,Cariu,-6.569049,107.1315,F, -   ,Bogor,1
13,Jonggol,-6.536267,107.027019,F, -   ,Bogor,1
14,Citeureup,-6.55597,106.900665,F, -   ,Bogor,1
15,Cileungsi,-6.448846,106.970985,F, -   ,Bogor,1
16,Gunung Putri,-6.389801,106.946685,F, -   ,Bogor,1
17,Cimanggis,-6.405124,106.875724,F, -   ,Bogor,1
18,Cibinong1,-6.485213,106.83744,F, -   ,Bogor,1
19,Kedunghalang,-6.577594,106.842338,F, -   ,Bogor,1
20,Semplak,-6.531929,106.750873,F, -   ,Bogor,1
21,Bojonggede,-6.473949,106.779388,F, -   ,Bogor,1
22,Sawangan,-6.406834,106.758655,F, -   ,Bogor,1
23,Lima,-6.354696,106.784714,F, -   ,Bogor,1
24,Parung,-6.470587,106.700908,F, -   ,Bogor,1
25,Gunung Sindur,-6.390098,106.693729,F, -   ,Bogor,1
26,Rumpin,-6.455714,106.65208,F, -   ,Bogor,1
27,Cigudeg,-6.575007,106.523578,F, -   ,Bogor,1
28,Jasinga,-6.51048,106.455036,F, -   ,Bogor,1
29,Parungpanjang,-6.377893,106.561657,F,0,Bogor,1
30,Tenjo,-6.37645,106.492504,F,0,Bogor,1
31,Pancoranmas,-6.409698,106.806259,F,0,Depok City,76
32,Beji,-6.375001,106.818336,F,0,Depok City,76
33,Sukmajaya,-6.41171,106.842193,F,0,Depok City,76
34,Ciemas,-7.190154,106.498913,F,0,Sukabumi,2
35,Parakansalak,-6.79203,106.681656,F,0,Sukabumi,2
36,Surade,-7.33296,106.596023,F,0,Sukabumi,2
37,Jampangkulon,-7.231842,106.663227,F,0,Sukabumi,2
38,Gegerbitung,-6.99382,107.00428,F,0,Sukabumi,2
39,Tegalbuleud,-7.33882,106.765,F,0,Sukabumi,2
40,Cidolog,-7.283511,106.854618,F,0,Sukabumi,2
41,Sagaranten,-7.214037,106.884388,F,0,Sukabumi,2
42,Lengkong1,-7.109372,106.703243,F,0,Sukabumi,2
43,Pabuaran1,-7.172678,106.780231,F,0,Sukabumi,2
44,Pelabuhan Ratu,-7.039549,106.590965,F,0,Sukabumi,2
45,Warungkiara,-6.981032,106.696453,F,0,Sukabumi,2
46,Jampang Tengah,-7.065627,106.823406,F,0,Sukabumi,2
47,Nyalindung,-7.020516,106.913127,F,0,Sukabumi,2
48,Cikembar,-6.972521,106.794593,F,0,Sukabumi,2
49,Cibadak,-6.844471,106.881322,F,0,Sukabumi,2
50,Cikidang,-6.911204,106.638942,F,0,Sukabumi,2
51,Cisolok,-6.866043,106.490547,F,0,Sukabumi,2
52,Kalapanunggal,-6.827475,106.652714,F,0,Sukabumi,2
53,Kabandungan,-6.792224,106.596722,F,0,Sukabumi,2
54,Ciracap,-7.258578,106.519581,F,0,Sukabumi,2
55,Parungkuda,-6.83254,106.729927,F,0,Sukabumi,2
56,Cidahu1,-6.768863,106.732921,F,0,Sukabumi,2
57,Cicurug,-6.769706,106.784885,F,0,Sukabumi,2
58,Nagrak,-6.82762,106.836574,F,0,Sukabumi,2
59,Cisaat,-6.927349,106.873619,F,0,Sukabumi,2
60,Kadudampit,-6.829412,106.91592,F,0,Sukabumi,2
61,Sukabumi,-6.86099,106.940841,F,0,Sukabumi,2
62,Baros,-6.959837,106.925842,F,0,Sukabumi,2
63,Kalibunder,-7.252032,106.733566,F,0,Sukabumi,2
64,Sukaraja1,-6.904767,107.002449,F,0,Sukabumi,2
65,Agrabinta,-7.35919,106.930107,F,0,Cianjur,3
66,Sindangbarang,-7.414781,107.073223,F,0,Cianjur,3
67,Cidaun,-7.423459,107.41189,F,0,Cianjur,3
68,Naringgul,-7.333442,107.364833,F,0,Cianjur,3
69,Cibinong2,-7.317951,107.192905,F,0,Cianjur,3
70,Tanggeung,-7.240458,107.167217,F,0,Cianjur,3
71,Pagelaran,-7.167186,107.188427,F,0,Cianjur,3
72,Kadupandak,-7.232247,107.018074,F,0,Cianjur,3
73,Takokak,-7.118832,106.991867,F,0,Cianjur,3
74,Sukanagara,-7.100312,107.092609,F,0,Cianjur,3
75,Campaka1,-6.499302,107.484485,F,0,Cianjur,3
76,Cibeber,-6.951358,107.133678,F,0,Cianjur,3
77,Bojongpicung,-6.881039,107.277943,F,0,Cianjur,3
78,Ciranjang,-6.819122,107.283581,F,0,Cianjur,3
79,Sukaluyu,-6.840498,107.224464,F,0,Cianjur,3
80,Karangtengah,-6.814873,107.201492,T,2000000,Cianjur,3
81,Cianjur,-6.824306,107.128658,T,2000000,Cianjur,3
82,Cilaku,-6.876378,107.162422,F,0,Cianjur,3
83,Warungkondang,-6.866874,107.059372,F,0,Cianjur,3
84,Cugenang,-6.809284,107.060081,F,0,Cianjur,3
85,Pacet1,-6.726204,107.0266,F,0,Cianjur,3
86,Sukaresmi,-6.718969,107.109981,F,0,Cianjur,3
87,Mande,-6.761888,107.216659,F,0,Cianjur,3
88,Cikalong Kulon,-6.673677,107.242401,F,0,Cianjur,3
89,Ciwidey,-7.127,107.370117,F,0,Bandung,4
90,Pasirjambu,-7.150698,107.436294,F,0,Bandung,4
91,Kertasari,-7.228263,107.674782,F,0,Bandung,4
92,Pacet2,-7.141436,107.684933,F,0,Bandung,4
93,Paseh1,-7.074684,107.792453,F,0,Bandung,4
94,Cikandung,-7.041374,107.81921,F,0,Bandung,4
95,Cicalengka,-7.004158,107.863968,F,0,Bandung,4
